Data published in District Resource Statement,Data as of,Borough,Community District,DRS Medicaid (MA) Only Enrollees,DRS Total Medicaid (MA) Enrollees,DRS Cash Assistance (CA) Recipients,DRS Cash Assistance (CA) Cases,DRS Total Supplemental Nutrition Assistance Program (SNAP)  Recipients,DRS Total Supplemental Nutrition Assistance Program (SNAP)  Households
FY 2019,10/31/2018,BRONX,B06,11122,35053,14124,6801,38792,20588
FY 2019,10/31/2018,BRONX,B07,18167,42001,13346,6843,45424,25465
FY 2019,10/31/2018,BRONX,B08,9205,16868,3283,1723,15917,9525
FY 2019,10/31/2018,BRONX,B09,22051,48742,14023,6877,51984,28267
FY 2019,10/31/2018,BRONX,B10,9647,17797,3639,1909,17467,10586
FY 2019,10/31/2018,BRONX,B11,12262,24614,5899,3150,23506,13595
FY 2019,10/31/2018,BRONX,B12,14250,35952,12815,6332,36775,20042
FY 2019,10/31/2018,BROOKLYN,K01,36246,49635,6580,2553,51302,20131
FY 2019,10/31/2018,BROOKLYN,K02,6947,13822,3162,1946,13371,8954
FY 2019,10/31/2018,BROOKLYN,K03,20105,40043,10165,5255,43587,23295
FY 2019,10/31/2018,BROOKLYN,K04,12513,23206,4392,2423,24325,14624
FY 2019,10/31/2018,BROOKLYN,K05,25850,54408,14542,7491,62270,34916
FY 2019,10/31/2018,BROOKLYN,K06,5287,10207,1859,1080,9841,6487
FY 2019,10/31/2018,BROOKLYN,K07,23320,30917,3089,1787,21613,12516
FY 2019,10/31/2018,BROOKLYN,K08,9003,19799,5398,3143,20353,12867
FY 2019,10/31/2018,BROOKLYN,K09,11524,19983,4154,2427,20368,12243
FY 2019,10/31/2018,BROOKLYN,K10,17490,23077,1881,1171,16689,9629
FY 2019,10/31/2018,BROOKLYN,K11,32692,45933,3259,1906,35985,20927
FY 2019,10/31/2018,BROOKLYN,K12,51432,68038,9651,2454,60831,19744
FY 2019,10/31/2018,BROOKLYN,K13,16159,34596,4886,2456,31706,20880
FY 2019,10/31/2018,BROOKLYN,K14,20942,33316,4669,2638,31123,17985
FY 2019,10/31/2018,BROOKLYN,K15,21117,33451,3074,1650,27911,17055
FY 2019,10/31/2018,BROOKLYN,K16,11947,33004,11683,5767,36584,20156
FY 2019,10/31/2018,BROOKLYN,K17,14936,28948,7715,4403,29989,18635
FY 2019,10/31/2018,BROOKLYN,K18,17551,29594,5323,2869,27558,16446
FY 2019,10/31/2018,MANHATTAN,M01,1570,2987,669,507,2172,1736
FY 2019,10/31/2018,MANHATTAN,M02,2763,3909,317,263,2995,2356
FY 2019,10/31/2018,MANHATTAN,M03,24579,42866,6225,4001,36605,24772
FY 2019,10/31/2018,MANHATTAN,M04,5985,12678,2979,2108,11648,8747
FY 2019,10/31/2018,MANHATTAN,M05,1684,6193,2622,1524,5689,3840
FY 2019,10/31/2018,MANHATTAN,M06,2969,5568,1075,865,4985,4331
FY 2019,10/31/2018,MANHATTAN,M07,8362,17204,3549,2382,16199,12133
FY 2019,10/31/2018,MANHATTAN,M08,4233,7028,862,604,5522,4404
FY 2019,10/31/2018,MANHATTAN,M09,10389,21494,5020,3092,21984,14362
FY 2019,10/31/2018,MANHATTAN,M10,12556,29876,9078,5457,32893,20847
FY 2019,10/31/2018,MANHATTAN,M11,17039,39464,10250,6114,42146,26194
FY 2019,10/31/2018,MANHATTAN,M12,25560,45769,6939,4384,46269,31363
FY 2019,10/31/2018,QUEENS,Q01,18893,27850,4144,2338,21981,13116
FY 2019,10/31/2018,QUEENS,Q02,13506,16872,1637,1062,10662,6672
FY 2019,10/31/2018,QUEENS,Q03,27597,33649,2797,1713,24705,14090
FY 2019,10/31/2018,QUEENS,Q04,30304,36999,2717,1724,25592,14754
FY 2019,10/31/2018,QUEENS,Q05,16306,21479,2101,1302,17728,10314
FY 2019,10/31/2018,QUEENS,Q06,9193,13193,835,547,9955,6884
FY 2019,10/31/2018,QUEENS,Q07,37198,46420,3550,2351,25683,16817
