Data published in District Resource Statement,Data as of,Borough,Community District,DRS Medicaid (MA) Only Enrollees,DRS Total Medicaid (MA) Enrollees,DRS Cash Assistance (CA) Recipients,DRS Cash Assistance (CA) Cases,DRS Total Supplemental Nutrition Assistance Program (SNAP)  Recipients,DRS Total Supplemental Nutrition Assistance Program (SNAP)  Households
FY 2023,10/31/2022,BROOKLYN,K10,10993,17383,2967,1773,19195,11587
FY 2023,10/31/2022,BROOKLYN,K11,20009,33581,4510,2616,39825,23571
FY 2023,10/31/2022,BROOKLYN,K12,33060,50844,12039,3326,63232,21154
FY 2023,10/31/2022,BROOKLYN,K13,12688,30763,6833,3610,33267,22063
FY 2023,10/31/2022,BROOKLYN,K14,15192,27527,5968,3467,32546,19351
FY 2023,10/31/2022,BROOKLYN,K15,14447,26741,4267,2338,29950,18524
FY 2023,10/31/2022,BROOKLYN,K16,9418,31660,13956,7408,36536,21554
FY 2023,10/31/2022,BROOKLYN,K17,13442,28776,9752,5874,31953,21030
FY 2023,10/31/2022,BROOKLYN,K18,14478,27211,6786,3829,29621,18479
FY 2023,10/31/2022,MANHATTAN,M01,1472,2512,465,331,1965,1511
FY 2023,10/31/2022,MANHATTAN,M02,2016,3094,493,379,2966,2374
FY 2023,10/31/2022,MANHATTAN,M03,16236,34902,8645,5511,38360,26183
FY 2023,10/31/2022,MANHATTAN,M04,5523,12819,4544,3149,13300,9989
FY 2023,10/31/2022,MANHATTAN,M05,1713,4786,2511,1629,4265,3493
FY 2023,10/31/2022,MANHATTAN,M06,3192,6495,2321,1746,5487,4560
FY 2023,10/31/2022,MANHATTAN,M07,7626,16760,5107,3443,17139,12644
FY 2023,10/31/2022,MANHATTAN,M08,4322,7431,1551,1054,6448,4960
FY 2023,10/31/2022,MANHATTAN,M09,7848,18871,6174,3857,22750,15027
FY 2023,10/31/2022,MANHATTAN,M10,9577,26141,10158,6379,31038,20239
FY 2023,10/31/2022,MANHATTAN,M11,12827,36385,13929,8535,43169,27243
FY 2023,10/31/2022,MANHATTAN,M12,18563,38238,8993,5762,47651,32856
FY 2023,10/31/2022,QUEENS,Q01,13366,24095,5694,3304,24394,14959
FY 2023,10/31/2022,QUEENS,Q02,9522,13593,2180,1431,11525,7475
FY 2023,10/31/2022,QUEENS,Q03,18791,25472,3439,2153,24973,14773
FY 2023,10/31/2022,QUEENS,Q04,20883,28719,3740,2363,27842,16550
FY 2023,10/31/2022,QUEENS,Q05,11701,18053,3368,2094,20584,12290
FY 2023,10/31/2022,QUEENS,Q06,7578,11836,1259,828,11547,7811
FY 2023,10/31/2022,QUEENS,Q07,26597,37913,5494,3564,32606,21573
FY 2023,10/31/2022,QUEENS,Q08,13089,20678,3727,2213,20365,12236
FY 2023,10/31/2022,QUEENS,Q09,13377,21878,4710,2777,24905,14487
FY 2023,10/31/2022,QUEENS,Q10,9859,15835,3173,1869,17802,10888
FY 2023,10/31/2022,QUEENS,Q11,7628,10480,1296,808,9004,5889
FY 2023,10/31/2022,QUEENS,Q12,22260,43184,12649,7241,47031,28293
FY 2023,10/31/2022,QUEENS,Q13,13183,22345,5200,3198,22102,14026
FY 2023,10/31/2022,QUEENS,Q14,10876,28066,9491,4577,29277,16299
FY 2023,10/31/2022,STATEN ISLAND,S01,14015,35301,12993,6288,39378,21052
FY 2023,10/31/2022,STATEN ISLAND,S02,9923,16950,3427,1883,17209,9984
FY 2023,10/31/2022,STATEN ISLAND,S03,7424,12066,2266,1318,12614,7804
